entity:cauris_sample_id	culture_id	swab_id	record_id	nh_code	project	raw_reads1	raw_reads2	site	organism	species
gem14193s1v1	gem14193	CARDCN_1111_NA	CARDCN_1111	CARD	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/batch_21/dzd-gem-09799_1.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/batch_21/dzd-gem-09799_2.fastq.gz	nares	CAURIS	Candidozyma auris
gem15420s1v1	gem15420	CARDNV_5222_NA	CARDNV_5222	CARD	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/7785/7785_634_S345_R1_001.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/7785/7785_634_S345_R2_001.fastq.gz	nares	CAURIS	Candidozyma auris
gem15832s1v1	gem15832	CARDNV_6107_NA	CARDNV_6107	CARD	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/8357/8357_117Reseq_S320_R1_001.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/8357/8357_117Reseq_S320_R2_001.fastq.gz	nares	CAURIS	Candidozyma auris
gem13773s1v1	gem13773	CARDCV_1169_NA	CARDCV_1169	CARD	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/batch_21/dzd-gem-09809_1.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/batch_21/dzd-gem-09809_2.fastq.gz	nares	CAURIS	Candidozyma auris
gem16005s1v1	gem16005	CARDVB_6301_NA	CARDVB_6301	CARD	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/8357/8357_208_S83_R1_001.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/8357/8357_208_S83_R2_001.fastq.gz	nares	CAURIS	Candidozyma auris
gem16044s1v1	gem16044	STOPNV_3108_NA	STOPNV_3108	STOP	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/8357/8357_247_S122_R1_001.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/8357/8357_247_S122_R2_001.fastq.gz	nares	CAURIS	Candidozyma auris
gem16123s1v1	gem16123	STOPVB_3338_NA	STOPVB_3338	STOP	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/8357/8357_426_S514_R1_001.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/8357/8357_426_S514_R2_001.fastq.gz	nares	CAURIS	Candidozyma auris
gem13965s1v1	gem13965	STOPCV_1284_NA	STOPCV_1284	STOP	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/batch_21/dzd-gem-10081_1.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/batch_21/dzd-gem-10081_2.fastq.gz	nares	CAURIS	Candidozyma auris
gem13945s1v1	gem13945	STOPCV_1296_NA	STOPCV_1296	STOP	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/batch_21/dzd-gem-10084_1.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/batch_21/dzd-gem-10084_2.fastq.gz	nares	CAURIS	Candidozyma auris
gem15069s1v1	gem15069	STOPVB_2408_NA	STOPVB_2408	STOP	GEMSTONE	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/7785/7785_266_S184_R1_001.fastq.gz	gs://fc-secure-35ef90c7-0633-4a72-ac51-b1ecc6f1fe20/sequencing_data/isolates/7785/7785_266_S184_R2_001.fastq.gz	nares	CAURIS	Candidozyma auris 
